id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,,204.0,204.0,214.0,214.0,204.0,135.0,204.0,214.0,,204.0,204.0,204.0,,204.0,255.0,214.0,204.0,204.0,214.0,1265.0,214.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,294.0,104.0,104.0,104.0,104.0,107.0,107.0,104.0,107.0,107.0,179.0,85.0,107.0,108.0,104.0,104.0,199.0,199.0,,107.0,107.0,10.0
5,294,294,294.0,294.0,294.0,294.0,600.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,287,545.0,239.0,273.0,2024.0,287.0,287.0,197.0,19.0,254.0,287.0,19.0,35.0,287.0,2025.0,19.0,144.0,35.0,35.0,17.0,1029.0,239.0,1933.0,273.0,
8,480,480,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1056.0,480.0,480.0,480.0,480.0,,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,1421.0,113.0,113.0,113.0,513.0,113.0,113.0,113.0,113.0,113.0,127.0,13.0,23.0,152.0,191.0,,,,,113.0
